program,description,work_group,event_type
Bridge Tie Deck Renewal,,Tie Deck Renewal,Replacement
Culvert Replacement,,Culvert Replacement,Replacement
Bridge Repairs/Replacements,Engineering - 10.3 & 16.9 - retaining structures,Retaining Structures,Rehabilitation
Bridge Repairs/Replacements,Install Ballast retainers,Retaining Structures,Rehabilitation
Bridge Repairs/Replacements,Install wingwall / retaining wall,Retaining Structures,Rehabilitation
Bridge Repairs/Replacements,Concrete Encasemet/Rehabilitation - Engineering,Concrete Encasement,Rehabilitation
Bridge Repairs/Replacements,Concrete Encasemet/Rehabilitation,Concrete Encasement,Rehabilitation
Bridge Repairs/Replacements,Span Replacement - Engineering,Span Replacement,Replacement
Bridge Repairs/Replacements,Span replacements,Span Replacement,Replacement
Bridge Repairs/Replacements,Steel repairs - Engineering,Steel Repairs,Rehabilitation
Bridge Repairs/Replacements,Steel repairs,Steel Repairs,Rehabilitation
