event_key,event_id,asset_key,event_type_key,work_group_key,planned_fiscal_period_key
1,EV-001,1,3,1,27
2,EV-002,2,3,1,27
3,EV-003,3,3,2,27
4,EV-004,4,3,2,27
5,EV-005,5,3,3,28
6,EV-006,6,2,12,32
7,EV-007,7,2,12,32
8,EV-008,8,2,10,29
9,EV-009,9,2,11,30
10,EV-010,10,1,13,32
11,EV-011,11,2,10,29
12,EV-012,11,1,9,30
13,EV-013,12,2,11,30
14,EV-014,12,1,9,31
15,EV-015,13,3,1,27
16,EV-016,14,3,1,27
17,EV-017,15,3,1,27
18,EV-018,16,3,1,27
19,EV-019,17,3,2,27
20,EV-020,18,3,2,27
21,EV-021,19,3,2,28
22,EV-022,20,3,3,28
23,EV-023,21,1,8,28
24,EV-024,22,1,8,28
25,EV-025,23,1,8,28
26,EV-026,24,1,8,29
27,EV-027,25,1,8,29
28,EV-028,26,1,4,31
29,EV-029,27,1,4,31
30,EV-030,28,1,4,27
31,EV-031,29,1,4,30
32,EV-032,30,1,4,30
33,EV-033,31,1,4,29
34,EV-034,32,1,4,27
35,EV-035,33,1,4,29
36,EV-036,34,1,7,27
37,EV-037,35,1,7,27
38,EV-038,36,1,7,27
39,EV-039,37,1,7,27
40,EV-040,38,1,7,27
41,EV-041,39,1,5,28
42,EV-042,40,1,5,29
43,EV-043,41,1,5,28
44,EV-044,42,1,5,27
45,EV-045,43,1,5,28
46,EV-046,44,1,5,28
47,EV-047,45,1,5,28
48,EV-048,46,1,5,28
49,EV-049,47,2,6,30
50,EV-050,48,2,6,31
51,EV-051,49,3,2,28
52,EV-052,50,3,3,28
53,EV-053,51,3,3,28
54,EV-054,52,3,3,29
55,EV-055,53,3,3,29
