work_group_key,work_group_name,source_tab
1,Signal Upgrade Phase 1,Comms and Signals
2,Signal Upgrade Phase 2,Comms and Signals
3,Signal Upgrade Phase 3,Comms and Signals
4,Curve Rail Replacement,TS Program Est
5,Turnout Replacement,TS Program Est
6,Timber & Surfacing,TS Program Est
7,Stations Tie Replacement,TS Program Est
8,Culvert Replacement,6YR Structures
9,Tie Deck Renewal,6YR Structures
10,Retaining Structures,6YR Structures
11,Concrete Encasement,6YR Structures
12,Steel Repairs,6YR Structures
13,Span Replacement,6YR Structures
