cost_key,event_key,cost_type_key,fiscal_period_key,calendar_period_key,amount_usd,allocation_code,is_source_traceable,allocation_note,source_ref
1,1,1,26,20262,50000.0,STATED,1,Stated,Comms and Signals!D15
2,1,2,27,20263,200000.0,STATED,1,Stated,Comms and Signals!D19
3,1,3,27,20264,375500.0,STATED,1,Stated,Comms and Signals!D23
4,2,1,26,20262,50000.0,STATED,1,Stated,Comms and Signals!D16
5,2,2,27,20263,200000.0,STATED,1,Stated,Comms and Signals!D20
6,2,3,27,20264,375500.0,STATED,1,Stated,Comms and Signals!D24
7,3,1,26,20262,51000.0,STATED,1,Stated,Comms and Signals!J3
8,3,2,27,20271,150000.0,STATED,1,Stated,Comms and Signals!J7
9,3,3,27,20271,400000.0,STATED,1,Stated,Comms and Signals!J11
10,4,1,26,20262,51000.0,STATED,1,Stated,Comms and Signals!J4
11,4,2,27,20271,150000.0,STATED,1,Stated,Comms and Signals!J8
12,4,3,27,20271,400000.0,STATED,1,Stated,Comms and Signals!J12
13,5,1,28,20273,45000.0,STATED,1,Stated,Comms and Signals!P2
14,5,2,28,20281,150000.0,STATED,1,Stated,Comms and Signals!P6
15,5,3,28,20281,400000.0,STATED,1,Stated,Comms and Signals!P10
16,6,1,31,,75000.0,EVEN_SPLIT,0,Even split across 2 mileposts,6YR Structures!I24
17,6,4,32,,500000.0,EVEN_SPLIT,0,Even split across 2 mileposts,6YR Structures!I26
18,7,1,31,,75000.0,EVEN_SPLIT,0,Even split across 2 mileposts,6YR Structures!I24
19,7,4,32,,500000.0,EVEN_SPLIT,0,Even split across 2 mileposts,6YR Structures!I26
20,8,1,28,,60000.0,EVEN_SPLIT,0,Even split across 2 mileposts,6YR Structures!I13
21,8,4,29,,300000.0,STATED,1,Stated,6YR Structures!I16
22,9,1,29,,75000.0,EVEN_SPLIT,0,Even split across 2 mileposts,6YR Structures!I18
23,9,4,30,,750000.0,EVEN_SPLIT,0,Even split across 2 mileposts,6YR Structures!I20
24,10,1,31,,190000.0,STATED,1,Stated,6YR Structures!I23
25,10,4,32,,5500000.0,STATED,1,Stated,6YR Structures!I27
26,11,1,28,,60000.0,EVEN_SPLIT,0,Even split across 2 mileposts,6YR Structures!I13
27,11,4,29,,175000.0,STATED,1,Stated,6YR Structures!I17
28,12,4,30,,1000000.0,STATED,1,Stated,6YR Structures!D20
29,13,1,29,,75000.0,EVEN_SPLIT,0,Even split across 2 mileposts,6YR Structures!I18
30,13,4,30,,750000.0,EVEN_SPLIT,0,Even split across 2 mileposts,6YR Structures!I20
31,14,4,31,,287330.3167420814,STATED,1,Stated,6YR Structures!D23
32,15,1,26,20261,50000.0,STATED,1,Stated,Comms and Signals!D2
33,15,2,26,20262,150000.0,STATED,1,Stated,Comms and Signals!D6
34,15,3,27,20263,375500.0,STATED,1,Stated,Comms and Signals!D10
35,16,1,26,20261,50000.0,STATED,1,Stated,Comms and Signals!D3
36,16,2,26,20262,200000.0,STATED,1,Stated,Comms and Signals!D7
37,16,3,27,20263,375500.0,STATED,1,Stated,Comms and Signals!D11
38,17,1,26,20261,50000.0,STATED,1,Stated,Comms and Signals!D4
39,17,2,26,20262,200000.0,STATED,1,Stated,Comms and Signals!D8
40,17,3,27,20263,375500.0,STATED,1,Stated,Comms and Signals!D12
41,18,1,26,20262,50000.0,STATED,1,Stated,Comms and Signals!D14
42,18,2,27,20263,150000.0,STATED,1,Stated,Comms and Signals!D18
43,18,3,27,20264,375500.0,STATED,1,Stated,Comms and Signals!D22
44,19,1,26,20262,51000.0,STATED,1,Stated,Comms and Signals!J2
45,19,2,27,20271,250000.0,STATED,1,Stated,Comms and Signals!J6
46,19,3,27,20271,400000.0,STATED,1,Stated,Comms and Signals!J10
47,20,1,27,20263,51000.0,STATED,1,Stated,Comms and Signals!J14
48,20,2,27,20272,150000.0,STATED,1,Stated,Comms and Signals!J18
49,20,3,27,20272,400000.0,STATED,1,Stated,Comms and Signals!J22
50,21,1,27,20263,51000.0,STATED,1,Stated,Comms and Signals!J16
51,21,2,27,20272,200000.0,STATED,1,Stated,Comms and Signals!J20
52,21,3,28,20273,400000.0,STATED,1,Stated,Comms and Signals!J24
53,22,1,28,20274,45000.0,STATED,1,Stated,Comms and Signals!P14
54,22,2,28,20282,150000.0,STATED,1,Stated,Comms and Signals!P18
55,22,3,28,20282,400000.0,STATED,1,Stated,Comms and Signals!P22
56,23,1,27,,40000.0,EVEN_SPLIT,0,Even split across 5 mileposts,6YR Structures!F11
57,23,4,28,,300000.0,STATED,1,Stated,6YR Structures!F13
58,24,1,27,,40000.0,EVEN_SPLIT,0,Even split across 5 mileposts,6YR Structures!F11
59,24,4,28,,325000.0,STATED,1,Stated,6YR Structures!F14
60,25,1,27,,40000.0,EVEN_SPLIT,0,Even split across 5 mileposts,6YR Structures!F11
61,25,4,28,,450000.0,STATED,1,Stated,6YR Structures!F15
62,26,1,27,,40000.0,EVEN_SPLIT,0,Even split across 5 mileposts,6YR Structures!F11
63,26,4,29,,200000.0,STATED,1,Stated,6YR Structures!F16
64,27,1,27,,40000.0,EVEN_SPLIT,0,Even split across 5 mileposts,6YR Structures!F11
65,27,4,29,,300000.0,STATED,1,Stated,6YR Structures!F17
66,28,4,31,,300000.0,UNIT_RATE,1,Unit rate I27,TS Program Est!A12
67,29,4,31,,300000.0,UNIT_RATE,1,Unit rate I27,TS Program Est!A11
68,30,4,27,,300000.0,UNIT_RATE,1,Unit rate I27,TS Program Est!A5
69,31,4,30,,300000.0,UNIT_RATE,1,Unit rate I27,TS Program Est!A10
70,32,4,30,,300000.0,UNIT_RATE,1,Unit rate I27,TS Program Est!A9
71,33,4,29,,300000.0,UNIT_RATE,1,Unit rate I27,TS Program Est!A8
72,34,4,27,,300000.0,UNIT_RATE,1,Unit rate I27,TS Program Est!A6
73,35,4,29,,300000.0,UNIT_RATE,1,Unit rate I27,TS Program Est!A7
74,36,4,27,,271400.0,EVEN_SPLIT,0,Even split of I7 - no unit rate exists,TS Program Est!E13
75,37,4,27,,271400.0,EVEN_SPLIT,0,Even split of I7 - no unit rate exists,TS Program Est!E12
76,38,4,27,,271400.0,EVEN_SPLIT,0,Even split of I7 - no unit rate exists,TS Program Est!E11
77,39,4,27,,271400.0,EVEN_SPLIT,0,Even split of I7 - no unit rate exists,TS Program Est!E10
78,40,4,27,,271400.0,EVEN_SPLIT,0,Even split of I7 - no unit rate exists,TS Program Est!E9
79,41,4,28,,150000.0,UNIT_RATE,1,Unit rate I23; FY basis: Not CP Ford; falls in J8 = I23*7,TS Program Est!A29
80,42,4,29,,600000.0,UNIT_RATE,1,Unit rate I23; FY basis: K8 = I23*4 and CP Ford is the only qty-4 row,TS Program Est!A28
81,43,4,28,,300000.0,UNIT_RATE,1,Unit rate I23; FY basis: Not CP Ford; falls in J8 = I23*7,TS Program Est!A27
82,44,4,27,,80000.0,UNATTRIBUTED,0,Unattributed - I8 has no turnout to attach to,TS Program Est!I8
83,45,4,28,,150000.0,UNIT_RATE,1,Unit rate I23; FY basis: Not CP Ford; falls in J8 = I23*7,TS Program Est!A24
84,46,4,28,,150000.0,UNIT_RATE,1,Unit rate I23; FY basis: Not CP Ford; falls in J8 = I23*7,TS Program Est!A25
85,47,4,28,,150000.0,UNIT_RATE,1,Unit rate I23; FY basis: Not CP Ford; falls in J8 = I23*7,TS Program Est!A23
86,48,4,28,,150000.0,UNIT_RATE,1,Unit rate I23; FY basis: Not CP Ford; falls in J8 = I23*7,TS Program Est!A26
87,49,4,30,,3500000.0,UNIT_RATE,1,Unit rate I18; mainline-to-year split assumed,TS Program Est!E5
88,50,4,31,,3500000.0,UNIT_RATE,1,Unit rate I18; mainline-to-year split assumed,TS Program Est!E5
89,51,1,27,20263,51000.0,STATED,1,Stated,Comms and Signals!J15
90,51,2,27,20272,200000.0,STATED,1,Stated,Comms and Signals!J19
91,51,3,28,20273,400000.0,STATED,1,Stated,Comms and Signals!J23
92,52,1,28,20273,45000.0,STATED,1,Stated,Comms and Signals!P3
93,52,2,28,20281,200000.0,STATED,1,Stated,Comms and Signals!P7
94,52,3,28,20281,400000.0,STATED,1,Stated,Comms and Signals!P11
95,53,1,28,20273,45000.0,STATED,1,Stated,Comms and Signals!P4
96,53,2,28,20281,200000.0,STATED,1,Stated,Comms and Signals!P8
97,53,3,28,20281,400000.0,STATED,1,Stated,Comms and Signals!P12
98,54,1,28,20274,45000.0,STATED,1,Stated,Comms and Signals!P15
99,54,2,28,20282,200000.0,STATED,1,Stated,Comms and Signals!P19
100,54,3,29,20283,400000.0,STATED,1,Stated,Comms and Signals!P23
101,55,1,28,20274,45000.0,STATED,1,Stated,Comms and Signals!P16
102,55,2,28,20282,200000.0,STATED,1,Stated,Comms and Signals!P20
103,55,3,29,20283,400000.0,STATED,1,Stated,Comms and Signals!P24
